1,2,3,4,5
Arts and Humanities,American Studies,American Film Studies,French Linguistics,Medieval German Literature
Engineering,Classics,American Material Culture,French and Francophone Literature,Modern German Literature
Life Sciences,Comparative Literature,American Popular Culture,German Linguistics,
Physical Sciences & Mathematics,Educational Research,Ethnic Studies,German Literature,
Social and Behavioral Sciences,English Language and Literature,Ancient History (Greek and Roman through Late Antiquity),Latin American Literature,
,"Feminist, Gender, and Sexuality Studies",Ancient Philosophy,Portuguese Literature,
,Film Studies,Byzantine and Modern Greek,Spanish Linguistics,
,History,Classical Archaeology and Art History,Spanish Literature,
,"History of Art, Architecture and Archaeology",Classical Literature and Philology,Protestant Theology,
,"Language, Societies, and Cultures",Indo-European Linguistics and Philology,Roman Catholic Theology,
,Literary Studies,Education Systems and Educational Institutions,,
,Musicology,"Educational Research on Socialization, Welfare and Professionalism Research",,
,Philosophy,General Education and History of Education,,
,"Race, Ethnicity and post-Colonial Studies",General and Domain-Specific Teaching and Learning,,
,Religion,"Feminist, Gender and Sexuality Studies",,
,Rhetoric and Composition,"Literature in English, Anglophone (other than British Isles and North America)",,
,Theatre and Performance Studies,"Literature in English, British Isles",,
,Aerospace Engineering,"Literature in English, North America (other than ethnic and minority)",,
,Biomedical Engineering and Bioengineering,"Literature in English, North America, ethnic and minority",,
,,Rhetoric and Composition,,
,,African,,
,,Asian,,
,,Cultural History,,
,,Diplomatic History,,
,,Early Modern History,,
,,European,,
,,Gender,,
,,History of Religion,,
,,"History of Science, Technology, and Medicine",,
,,Intellectual History,,
,,Islamic World/Near East,,
,,Latin American,,
,,Legal,,
,,Medieval History,,
,,Military History,,
,,Modern and Current History,,
,,Political History,,
,,Social History,,
,,United States,,
,,Women’s History,,
,,American Art and Architecture,,
,,"Ancient, Medieval, Renaissance and Baroque Art and Architecture",,
,,Asian Art and Architecture,,
,,Contemporary Art,,
,,Modern Art and Architecture,,
,,Theory and Criticism,,
,,African Languages and Societies,,
,,East Asian Languages and Societies,,
,,Egyptology and Ancient Near Eastern Studies,,
,,European Languages and Societies (not elsewhere classified),,
,,Latin American Languages and Societies (not elsewhere classified,,
,,Near Eastern Languages and Societies,,
,,Slavic Languages and Societies,,
,,South and Southeast Asian Languages and Societies,,
,,American Literature,,
,,European Literature,,
,,French and Francophone Language and Literature,,
,,German Language and Literature,,
,,Spanish and Portuguese Language and Literature,,
,,Art History,,
,,Composition,,
,,Ethnomusicology,,
,,Music Theory,,
,,Musicology,,
,,Theatre and Media Studies,,
,,Continental Philosophy,,
,,Epistemology,,
,,Esthetics,,
,,Ethics and Political Philosophy,,
,,Feminist Philosophy,,
,,History of Philosophy,,
,,Logic and foundations of mathematics,,
,,Metaphysics,,
,,Philosophy of Language,,
,,Philosophy of Mind,,
,,Philosophy of Science,,
,,Practical Philosophy,,
,,Theoretical Philosophy,,
,,Biblical Studies,,
,,Comparative Methodologies and Theories,,
,,Ethics,,
,,History of Religions of Eastern Origins,,
,,History of Religions of Western Origin,,
,,Religious Thought/Theology/Philosophy of Religion,,
,,"Dramatic Literature, Criticism and Theory",,
,,Performance Studies,,
,,Playwriting,,
,,Theatre History,,
