ORKG Research Field,Taxonomy Level,Number of paper instances,Percentage overall
Computer Sciences,2,10528,43.68102232179902
Bioinformatics,2,1226,5.08671479545266
Ecology and Evolutionary Biology,2,988,4.0992448759439055
Medicine,2,949,3.9374325782092776
Science,nothing found,816,3.3856111526014443
Information Science,2,534,2.215583768981827
Artificial Intelligence,3,514,2.1326031034768897
Software Engineering,3,499,2.0703676043481867
Natural Language Processing,4,373,1.5475894116670816
Engineering,1,362,1.501950045639366
"Operations Research, Systems Engineering and Industrial Engineering",2,344,1.4272674466849222
Virology,3,332,1.37747904738196
Computer and Systems Architecture,3,331,1.373330014106713
"Information Systems, Process and Knowledge Management",3,298,1.2364119160235665
Computer Engineering,2,271,1.1243880175919012
Environmental Sciences,3,235,0.9750228196830139
Semantic Web,4,226,0.9376815202057921
Toxicology,3,222,0.9210853871048046
Urban Studies and Planning,2,204,0.8464027881503611
Medicinal Chemistry and Pharmaceutics,3,186,0.7717201891959173
Materials Science and Engineering,2,176,0.7302298564434486
Cryptography and Security,3,176,0.7302298564434486
Oceanography,3,127,0.5269272259563522
Chemistry,2,119,0.4937349597543772
Security and Dependability,3,118,0.48958592647913035
Econometrics,3,116,0.48128785992863665
Science and Technology Studies,2,111,0.4605426935524023
Earth Sciences,2,110,0.45639366027715544
"Social Control, Law, Crime, and Deviance",3,104,0.4314994606256742
Machine Learning,4,102,0.42320139407518054
Databases/Information Systems,3,98,0.40660526097419303
Plasma and Beam Physics,3,97,0.4024562276989462
Power and Energy,3,94,0.3900091278732055
Economics,2,92,0.3817110613227118
"Atomic, Molecular and Optical Physics",3,87,0.36096589494647746
Computational Linguistics,3,84,0.34851879512073686
Industrial Engineering,3,80,0.3319226620197494
Nanoscience and Nanotechnology,2,78,0.3236245954692557
Materials Chemistry,3,75,0.31117749564351505
Applied Physics,3,65,0.2696871628910464
"Urbanism, Spatial Planning, Transportation and Infrastructure Planning, Landscape Planning",3,62,0.2572400630653058
Planetary Sciences,3,57,0.23649489668907145
OS/Networks,3,55,0.22819683013857772
Applied Mathematics,2,53,0.21989876358808397
Organic Chemistry,3,51,0.21160069703759027
Mathematics,2,51,0.21160069703759027
"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions",4,50,0.2074516637623434
Graphics,3,50,0.2074516637623434
Psychology,2,41,0.17011036428512155
Mechanical Engineering,2,40,0.1659613310098747
Animal Sciences,2,40,0.1659613310098747
Life Sciences,1,39,0.16181229773462785
Geology,3,37,0.1535142311841341
Geography,2,36,0.14936519790888725
Immunology and Infectious Disease,2,35,0.14521616463364037
Epidemiology,3,34,0.1410671313583935
